Category:0	Popularity :77834.0
Category:1	Popularity :33758.0
Category:2	Popularity :1867.0
Category:3	Popularity :323256.0
Category:4	Popularity :148833.0
Category:5	Popularity :405057.0
Category:6	Popularity :98742.0
Category:7	Popularity :20204.0
Category:8	Popularity :106475.0
Category:9	Popularity :151722.0
